ISO,Year,HDI_UNDP,IHDI,PHDI,GII,GDI,VDem_Score
DNK,2010,0.92,,0.737,0.048,0.994,
DNK,2011,0.934,,0.743,0.043,0.985,
DNK,2012,0.938,,0.756,0.041,0.982,
DNK,2013,0.941,,0.754,0.039,0.983,
DNK,2014,0.939,0.883,0.767,0.035,0.974,
DNK,2015,0.943,0.888,0.772,0.034,0.98,
DNK,2016,0.951,0.894,0.778,0.033,0.982,
DNK,2017,0.951,0.894,0.774,0.027,0.983,
DNK,2018,0.95,0.892,0.776,0.021,0.984,
DNK,2019,0.953,0.898,0.784,0.016,0.985,
DNK,2020,0.954,0.898,0.795,0.01,0.985,
DNK,2021,0.958,0.904,0.79,0.008,0.989,
DNK,2022,0.959,0.904,0.792,0.004,0.991,
DNK,2023,0.962,0.909,0.792,0.003,0.99,
DJI,2010,0.421,,0.408,,,
DJI,2011,0.432,,0.408,,,
DJI,2012,0.442,0.277,0.407,,,
DJI,2013,0.45,0.286,0.413,,,
DJI,2014,0.459,0.292,0.428,,,
DJI,2015,0.469,0.299,0.439,,0.787,
DJI,2016,0.477,0.306,0.451,,0.792,
DJI,2017,0.484,0.317,0.452,0.547,0.814,
DJI,2018,0.492,0.323,0.466,0.499,0.798,
DJI,2019,0.497,0.326,0.465,0.492,0.802,
DJI,2020,0.499,0.329,0.461,0.486,0.807,
DJI,2021,0.501,0.331,0.469,0.483,0.81,
DJI,2022,0.51,0.338,0.478,0.482,0.813,
DJI,2023,0.513,0.341,0.48,0.481,0.814,
DMA,2010,0.747,,,,,
DMA,2011,0.745,,,,,
DMA,2012,0.745,,,,,
DMA,2013,0.745,,,,,
DMA,2014,0.748,,,,,
DMA,2015,0.741,,,,,
DMA,2016,0.751,,,,,
DMA,2017,0.735,,,,,
DMA,2018,0.755,,,,,
DMA,2019,0.758,,,,,
DMA,2020,0.753,,,,,
DMA,2021,0.749,,,,,
DMA,2022,0.759,,,,,
DMA,2023,0.761,,,,,
DOM,2010,0.715,0.542,0.681,0.479,0.986,
DOM,2011,0.721,0.548,0.687,0.477,0.996,
DOM,2012,0.727,0.559,0.688,0.472,1.002,
DOM,2013,0.731,0.558,0.693,0.47,0.998,
DOM,2014,0.737,0.571,0.698,0.47,0.997,
DOM,2015,0.747,0.579,0.706,0.466,1.01,
DOM,2016,0.766,0.561,0.722,0.452,1.011,
DOM,2017,0.77,0.613,0.728,0.449,1.015,
DOM,2018,0.773,0.614,0.732,0.45,1.015,
DOM,2019,0.771,0.616,0.728,0.437,1.021,
DOM,2020,0.767,0.622,0.723,0.431,1.027,
DOM,2021,0.762,0.622,0.715,0.423,1.031,
DOM,2022,0.778,0.636,0.729,0.422,1.029,
DOM,2023,0.776,0.634,0.726,0.417,1.024,
ECU,2010,0.737,0.577,0.689,0.431,0.982,
ECU,2011,0.743,0.596,0.694,0.429,0.982,
ECU,2012,0.75,0.598,0.708,0.424,0.983,
ECU,2013,0.755,0.607,0.702,0.408,0.98,
ECU,2014,0.76,0.621,0.705,0.396,0.978,
ECU,2015,0.764,0.622,0.715,0.391,0.98,
ECU,2016,0.761,0.624,0.716,0.386,0.983,
ECU,2017,0.764,0.628,0.719,0.389,0.984,
ECU,2018,0.767,0.627,0.724,0.391,0.987,
ECU,2019,0.765,0.627,0.722,0.388,0.991,
ECU,2020,0.74,0.605,0.704,0.373,1.012,
ECU,2021,0.753,0.62,0.714,0.366,1.004,
ECU,2022,0.773,0.635,0.732,0.364,0.996,
ECU,2023,0.777,0.64,0.735,0.358,0.998,
EGY,2010,0.677,0.504,0.653,0.552,0.864,
EGY,2011,0.68,0.509,0.655,0.545,0.888,
EGY,2012,0.689,0.525,0.662,0.566,0.894,
EGY,2013,0.695,0.533,0.669,0.558,0.889,
EGY,2014,0.699,0.54,0.671,0.548,0.888,
EGY,2015,0.706,0.536,0.679,0.542,0.902,
EGY,2016,0.713,0.542,0.686,0.412,0.904,
EGY,2017,0.72,0.548,0.693,0.405,0.905,
EGY,2018,0.728,0.558,0.702,0.416,0.897,
EGY,2019,0.736,0.566,0.709,0.424,0.884,
EGY,2020,0.736,0.567,0.71,0.405,0.884,
EGY,2021,0.738,0.569,0.71,0.395,0.89,
EGY,2022,0.751,0.579,0.722,0.399,0.895,
EGY,2023,0.754,0.582,0.726,0.398,0.895,
SLV,2010,0.66,0.501,0.629,0.398,0.978,
SLV,2011,0.662,0.505,0.631,0.398,0.973,
SLV,2012,0.666,0.516,0.632,0.381,0.971,
SLV,2013,0.668,0.516,0.634,0.38,0.982,
SLV,2014,0.668,0.523,0.636,0.382,0.984,
SLV,2015,0.667,0.525,0.635,0.378,0.983,
SLV,2016,0.666,0.526,0.634,0.37,0.985,
SLV,2017,0.665,0.533,0.634,0.37,0.984,
SLV,2018,0.67,0.538,0.64,0.368,0.982,
SLV,2019,0.67,0.54,0.638,0.358,0.979,
SLV,2020,0.66,0.527,0.63,0.359,1.013,
SLV,2021,0.663,0.539,0.626,0.369,0.972,
SLV,2022,0.674,0.55,0.635,0.366,0.976,
SLV,2023,0.678,0.555,0.638,0.362,0.983,
GNQ,2010,0.612,,0.431,,,
GNQ,2011,0.624,,0.519,,,
GNQ,2012,0.635,,0.553,,,
GNQ,2013,0.644,,0.573,,,
GNQ,2014,0.652,,0.587,,,
GNQ,2015,0.656,,0.593,,,
GNQ,2016,0.659,,0.605,,,
GNQ,2017,0.661,,0.622,,,
GNQ,2018,0.663,,0.617,,,
GNQ,2019,0.667,,0.63,,,
GNQ,2020,0.668,,0.629,,,
GNQ,2021,0.671,,0.634,,,
GNQ,2022,0.677,,0.643,,,
GNQ,2023,0.674,,0.644,,,
ERI,2010,0.465,,0.453,,,
ERI,2011,0.48,,0.469,,,
ERI,2012,0.483,,0.472,,,
ERI,2013,0.479,,0.467,,,
ERI,2014,0.497,,0.486,,,
ERI,2015,0.48,,0.469,,,
ERI,2016,0.485,,0.475,,,
ERI,2017,0.48,,0.47,,,
ERI,2018,0.49,,0.481,,,
ERI,2019,0.495,,0.484,,,
ERI,2020,0.495,,0.485,,,
ERI,2021,0.496,,0.489,,,
ERI,2022,0.499,,0.492,,,
ERI,2023,0.503,,0.496,,,
EST,2010,0.868,0.802,0.684,0.159,1.028,
EST,2011,0.877,0.806,0.688,0.159,1.024,
EST,2012,0.88,,0.687,0.152,1.024,
EST,2013,0.887,,0.68,0.152,1.014,
EST,2014,0.885,0.804,0.693,0.156,1.021,
EST,2015,0.888,,0.702,0.128,1.024,
EST,2016,0.89,,0.693,0.119,1.021,
EST,2017,0.894,0.828,0.678,0.105,1.025,
EST,2018,0.897,0.835,0.687,0.101,1.026,
EST,2019,0.901,0.839,0.717,0.089,1.025,
EST,2020,0.901,0.839,0.73,0.083,1.021,
EST,2021,0.899,0.835,0.715,0.081,1.027,
EST,2022,0.902,0.837,0.711,0.071,1.025,
EST,2023,0.905,0.841,0.714,0.061,1.023,
SWZ,2010,0.534,0.316,,,,
SWZ,2011,0.545,0.325,,,,
SWZ,2012,0.562,0.337,,,,
SWZ,2013,0.578,0.348,,,,
SWZ,2014,0.592,0.362,,,,
SWZ,2015,0.607,0.372,,0.547,0.941,
SWZ,2016,0.619,0.38,,0.533,0.96,
SWZ,2017,0.631,0.38,,0.521,0.95,
SWZ,2018,0.643,0.388,,0.525,0.953,
SWZ,2019,0.653,0.395,,0.526,0.955,
SWZ,2020,0.657,0.399,,0.505,0.961,
SWZ,2021,0.658,0.406,,0.503,0.986,
SWZ,2022,0.695,0.43,,0.494,0.964,
SWZ,2023,0.695,0.431,,0.484,0.964,
ETH,2010,0.415,,0.408,0.601,0.855,
ETH,2011,0.425,0.267,0.419,0.598,0.858,
ETH,2012,0.433,0.273,0.427,0.585,0.864,
ETH,2013,0.441,0.28,0.434,0.572,0.853,
ETH,2014,0.449,0.286,0.442,0.565,0.868,
ETH,2015,0.456,0.292,0.448,0.533,0.869,
ETH,2016,0.463,0.296,0.455,0.524,0.87,
ETH,2017,0.47,0.302,0.461,0.52,0.874,
ETH,2018,0.476,0.306,0.467,0.513,0.878,
ETH,2019,0.482,0.313,0.472,0.509,0.882,
ETH,2020,0.486,0.317,0.476,0.502,0.886,
ETH,2021,0.487,0.318,0.477,0.497,0.881,
ETH,2022,0.494,0.323,0.484,0.498,0.885,
ETH,2023,0.497,0.326,0.487,0.497,0.886,
FJI,2010,0.697,,,0.39,0.943,
FJI,2011,0.701,,,0.383,0.958,
FJI,2012,0.698,,,0.386,0.95,
FJI,2013,0.708,,,0.39,0.946,
FJI,2014,0.712,,,0.352,0.948,
FJI,2015,0.715,,,0.334,0.95,
FJI,2016,0.719,,,0.333,0.954,
FJI,2017,0.725,,,0.325,0.946,
FJI,2018,0.728,,,0.313,0.945,
FJI,2019,0.727,,,0.317,0.945,
FJI,2020,0.718,,,0.317,0.947,
FJI,2021,0.705,0.606,,0.31,0.943,
FJI,2022,0.726,0.623,,0.314,0.947,
FJI,2023,0.731,0.626,,0.35,0.948,
FIN,2010,0.92,0.864,0.683,0.073,1.003,
FIN,2011,0.924,0.868,0.686,0.067,1.004,
FIN,2012,0.924,0.868,0.699,0.065,1.0,
FIN,2013,0.934,0.879,0.708,0.064,0.989,
FIN,2014,0.936,0.882,0.719,0.062,0.99,
FIN,2015,0.938,0.886,0.736,0.056,0.99,
FIN,2016,0.94,0.887,0.725,0.05,0.99,
FIN,2017,0.942,0.889,0.725,0.044,0.99,
FIN,2018,0.945,0.89,0.724,0.038,0.989,
FIN,2019,0.947,0.893,0.742,0.031,0.988,
FIN,2020,0.947,0.892,0.743,0.03,0.991,
FIN,2021,0.949,0.896,0.747,0.029,0.989,
FIN,2022,0.946,0.888,0.748,0.023,0.994,
FIN,2023,0.948,0.891,0.748,0.021,0.992,
FRA,2010,0.888,0.797,0.763,0.129,0.986,
FRA,2011,0.892,0.802,0.76,0.125,0.987,
FRA,2012,0.893,0.805,0.767,0.11,0.986,
FRA,2013,0.896,0.813,0.77,0.106,0.985,
FRA,2014,0.9,0.814,0.778,0.101,0.986,
FRA,2015,0.901,0.816,0.785,0.096,0.986,
FRA,2016,0.905,0.819,0.789,0.092,0.986,
FRA,2017,0.908,0.816,0.789,0.072,0.987,
FRA,2018,0.911,0.816,0.793,0.065,0.987,
FRA,2019,0.914,0.818,0.796,0.061,0.988,
FRA,2020,0.909,0.82,0.799,0.056,0.991,
FRA,2021,0.915,0.827,0.798,0.048,0.988,
FRA,2022,0.916,0.824,0.801,0.041,0.992,
FRA,2023,0.92,0.836,0.804,0.034,0.993,
GAB,2010,0.684,,0.641,0.523,0.993,
GAB,2011,0.69,,0.643,0.525,0.982,
GAB,2012,0.699,0.504,0.655,0.519,0.981,
GAB,2013,0.707,0.511,0.661,0.524,0.984,
GAB,2014,0.716,0.52,0.669,0.533,0.986,
GAB,2015,0.72,0.524,0.673,0.53,0.987,
GAB,2016,0.724,0.528,0.68,0.531,0.989,
GAB,2017,0.726,0.54,0.684,0.528,0.992,
GAB,2018,0.727,0.542,0.692,0.531,0.989,
GAB,2019,0.73,0.551,0.698,0.527,0.989,
GAB,2020,0.732,0.554,0.7,0.531,0.99,
GAB,2021,0.72,0.546,0.69,0.523,0.986,
GAB,2022,0.73,0.555,0.7,0.522,0.99,
GAB,2023,0.733,0.558,0.704,0.505,0.994,
GMB,2010,0.463,,0.454,0.659,0.861,
GMB,2011,0.463,0.27,0.456,0.654,0.863,
GMB,2012,0.469,0.275,0.462,0.649,0.867,
GMB,2013,0.474,0.277,0.467,0.646,0.876,
GMB,2014,0.477,0.279,0.47,0.625,0.885,
GMB,2015,0.482,0.283,0.474,0.618,0.895,
GMB,2016,0.487,0.301,0.478,0.609,0.905,
GMB,2017,0.493,0.306,0.484,0.597,0.915,
GMB,2018,0.5,0.314,0.49,0.594,0.944,
GMB,2019,0.508,0.322,0.498,0.586,0.932,
GMB,2020,0.512,0.325,0.502,0.589,0.941,
GMB,2021,0.513,0.32,0.503,0.585,0.942,
GMB,2022,0.519,0.325,0.509,0.581,0.945,
GMB,2023,0.524,0.329,0.514,0.578,0.959,
GEO,2010,0.77,0.646,0.723,0.43,0.962,
GEO,2011,0.78,0.651,0.726,0.42,0.969,
GEO,2012,0.789,0.677,0.729,0.372,0.973,
GEO,2013,0.796,0.69,0.738,0.365,0.974,
GEO,2014,0.802,0.695,0.742,0.361,0.976,
GEO,2015,0.807,0.705,0.744,0.36,0.98,
GEO,2016,0.809,0.707,0.749,0.321,0.979,
GEO,2017,0.816,0.701,0.756,0.303,0.992,
GEO,2018,0.824,0.723,0.76,0.299,0.991,
GEO,2019,0.83,0.726,0.764,0.296,0.994,
GEO,2020,0.822,0.729,0.753,0.271,0.999,
GEO,2021,0.819,0.731,0.751,0.269,0.997,
GEO,2022,0.838,0.749,0.767,0.257,1.008,
GEO,2023,0.844,0.754,0.772,0.257,1.009,
DEU,2010,0.936,0.871,0.742,0.096,0.949,
DEU,2011,0.942,0.876,0.741,0.087,0.953,
DEU,2012,0.944,0.878,0.748,0.085,0.953,
DEU,2013,0.945,0.876,0.749,0.077,0.954,
DEU,2014,0.949,0.879,0.756,0.077,0.956,
DEU,2015,0.948,0.879,0.763,0.076,0.958,
DEU,2016,0.949,0.878,0.762,0.083,0.963,
DEU,2017,0.951,0.881,0.764,0.085,0.965,
DEU,2018,0.952,0.878,0.765,0.08,0.966,
DEU,2019,0.957,0.885,0.777,0.076,0.967,
DEU,2020,0.955,0.881,0.787,0.071,0.965,
DEU,2021,0.958,0.881,0.778,0.064,0.971,
DEU,2022,0.955,0.885,0.78,0.058,0.972,
DEU,2023,0.959,0.89,0.785,0.057,0.975,
GHA,2010,0.558,0.334,0.537,0.571,0.894,
GHA,2011,0.568,0.349,0.545,0.57,0.892,
GHA,2012,0.575,0.354,0.549,0.57,0.895,
GHA,2013,0.582,0.364,0.556,0.558,0.903,
GHA,2014,0.58,0.367,0.559,0.553,0.901,
GHA,2015,0.588,0.373,0.564,0.553,0.911,
GHA,2016,0.59,0.375,0.567,0.543,0.91,
GHA,2017,0.594,0.368,0.568,0.534,0.908,
GHA,2018,0.6,0.372,0.574,0.534,0.917,
GHA,2019,0.609,0.38,0.581,0.525,0.919,
GHA,2020,0.614,0.384,0.589,0.529,0.923,
GHA,2021,0.618,0.387,0.593,0.524,0.923,
GHA,2022,0.625,0.396,0.601,0.515,0.929,
GHA,2023,0.628,0.399,0.604,0.514,0.933,
GRC,2010,0.876,0.766,0.722,0.156,0.966,
GRC,2011,0.874,0.763,0.73,0.142,0.967,
GRC,2012,0.874,0.765,0.746,0.127,0.967,
GRC,2013,0.879,0.769,0.761,0.123,0.966,
GRC,2014,0.886,0.77,0.766,0.121,0.968,
GRC,2015,0.888,0.775,0.774,0.125,0.972,
GRC,2016,0.884,0.773,0.773,0.129,0.969,
GRC,2017,0.887,0.779,0.775,0.132,0.969,
GRC,2018,0.893,0.794,0.78,0.13,0.969,
GRC,2019,0.896,0.801,0.79,0.122,0.968,
GRC,2020,0.896,0.798,0.801,0.118,0.971,
GRC,2021,0.897,0.795,0.794,0.114,0.971,
GRC,2022,0.897,0.804,0.795,0.109,0.968,
GRC,2023,0.908,0.825,0.803,0.103,0.963,
GRD,2010,0.771,,,,,
GRD,2011,0.773,,,,,
GRD,2012,0.774,,,,,
GRD,2013,0.777,,,,,
GRD,2014,0.779,,,,,
GRD,2015,0.782,,,,0.972,
GRD,2016,0.784,,,,0.982,
GRD,2017,0.784,,,,0.977,
GRD,2018,0.788,,,0.213,0.989,
GRD,2019,0.789,,,0.212,0.99,
GRD,2020,0.782,,,0.218,0.987,
GRD,2021,0.782,,,0.226,0.981,
GRD,2022,0.789,,,0.227,0.983,
GRD,2023,0.791,,,0.226,0.984,
GTM,2010,0.623,,0.593,0.526,0.923,
GTM,2011,0.628,,0.597,0.527,0.909,
GTM,2012,0.631,,0.598,0.536,0.925,
GTM,2013,0.633,,0.593,0.53,0.925,
GTM,2014,0.65,,0.605,0.526,0.932,
GTM,2015,0.638,0.456,0.603,0.529,0.924,
GTM,2016,0.642,0.46,0.607,0.508,0.923,
GTM,2017,0.647,0.464,0.614,0.509,0.924,
GTM,2018,0.649,0.467,0.619,0.509,0.922,
GTM,2019,0.653,0.471,0.619,0.5,0.926,
GTM,2020,0.645,0.466,0.614,0.48,0.918,
GTM,2021,0.639,0.462,0.605,0.467,0.945,
GTM,2022,0.655,0.474,0.62,0.48,0.934,
GTM,2023,0.662,0.479,0.626,0.48,0.934,
GIN,2010,0.43,0.251,0.42,,,
GIN,2011,0.436,0.255,0.426,,,
GIN,2012,0.44,0.257,0.43,,,
GIN,2013,0.445,0.26,0.434,,,
GIN,2014,0.451,0.264,0.439,,,
GIN,2015,0.465,0.273,0.452,,,
GIN,2016,0.482,0.279,0.468,,,
GIN,2017,0.482,0.279,0.47,,,
GIN,2018,0.479,0.28,0.467,,,
GIN,2019,0.486,0.29,0.473,0.631,0.822,
GIN,2020,0.488,0.293,0.474,0.643,0.825,
GIN,2021,0.49,0.295,0.478,0.64,0.826,
GIN,2022,0.498,0.3,0.486,0.61,0.828,
GIN,2023,0.5,0.302,0.488,0.609,0.828,
GNB,2010,0.452,0.249,,,,
GNB,2011,0.46,0.255,,,,
GNB,2012,0.462,0.258,,,,
GNB,2013,0.469,0.263,,,,
GNB,2014,0.476,0.265,,,,
GNB,2015,0.481,0.269,,,,
GNB,2016,0.486,0.273,,,,
GNB,2017,0.491,0.277,,,,
GNB,2018,0.493,0.278,,0.623,0.87,
GNB,2019,0.501,0.319,,0.622,0.851,
GNB,2020,0.498,0.319,,0.621,0.874,
GNB,2021,0.502,0.322,,0.618,0.876,
GNB,2022,0.511,0.329,,0.617,0.884,
GNB,2023,0.514,0.331,,0.632,0.878,
GUY,2010,0.647,,,,,
GUY,2011,0.659,,,,,
GUY,2012,0.664,,,,,
GUY,2013,0.669,,,,,
GUY,2014,0.678,,,,,
GUY,2015,0.683,,,,,
GUY,2016,0.69,,,,,
GUY,2017,0.696,,,,,
GUY,2018,0.702,,,0.444,0.987,
GUY,2019,0.709,,,0.439,0.99,
GUY,2020,0.722,,,0.434,0.989,
GUY,2021,0.713,,,0.432,0.986,
GUY,2022,0.763,,,0.431,0.991,
GUY,2023,0.776,,,0.427,0.992,
HTI,2010,0.452,,0.445,0.613,0.845,
HTI,2011,0.536,,0.527,0.626,0.896,
HTI,2012,0.54,0.318,0.531,0.631,0.901,
HTI,2013,0.545,0.322,0.536,0.629,0.902,
HTI,2014,0.549,0.325,0.539,0.627,0.907,
HTI,2015,0.552,0.328,0.543,0.625,0.913,
HTI,2016,0.555,0.331,0.546,0.84,0.915,
HTI,2017,0.559,0.335,0.55,0.628,0.918,
HTI,2018,0.561,0.337,0.552,0.629,0.919,
HTI,2019,0.56,0.337,0.552,0.625,0.923,
HTI,2020,0.555,0.335,0.547,0.623,0.928,
HTI,2021,0.548,0.331,0.54,0.621,0.928,
HTI,2022,0.552,0.334,0.544,0.619,0.931,
HTI,2023,0.554,0.337,0.545,0.618,0.932,
HND,2010,0.596,0.441,0.576,0.473,0.983,
HND,2011,0.598,0.433,0.578,0.472,0.982,
HND,2012,0.597,0.434,0.577,0.463,0.982,
HND,2013,0.601,0.449,0.58,0.454,0.994,
HND,2014,0.604,0.462,0.583,0.438,0.997,
HND,2015,0.61,0.471,0.588,0.432,1.0,
HND,2016,0.616,0.473,0.594,0.428,0.996,
HND,2017,0.618,0.475,0.596,0.427,0.991,
HND,2018,0.619,0.477,0.596,0.435,1.004,
HND,2019,0.632,0.484,0.608,0.445,0.974,
HND,2020,0.625,0.479,0.603,0.436,0.998,
HND,2021,0.628,0.482,0.604,0.417,0.984,
HND,2022,0.643,0.494,0.618,0.427,0.974,
HND,2023,0.645,0.496,0.62,0.437,0.964,
HKG,2010,0.912,0.79,,,0.963,
HKG,2011,0.918,0.796,,,0.962,
HKG,2012,0.923,0.8,,,0.962,
HKG,2013,0.928,0.805,,,0.964,
HKG,2014,0.932,0.812,,,0.966,
HKG,2015,0.937,0.818,,,0.967,
HKG,2016,0.94,0.821,,,0.967,
HKG,2017,0.946,0.828,,,0.976,
HKG,2018,0.952,0.834,,,0.976,
HKG,2019,0.952,0.834,,,0.974,
HKG,2020,0.95,0.832,,,0.968,
HKG,2021,0.961,0.842,,,0.971,
HKG,2022,0.95,0.834,,,0.974,
HKG,2023,0.955,0.839,,,0.976,
HUN,2010,0.838,0.774,0.743,0.25,0.998,
HUN,2011,0.841,0.777,0.747,0.255,0.994,
HUN,2012,0.841,0.772,0.755,0.258,0.993,
HUN,2013,0.85,0.781,0.761,0.265,0.992,
HUN,2014,0.848,0.78,0.751,0.261,0.989,
HUN,2015,0.847,0.79,0.755,0.261,0.99,
HUN,2016,0.851,0.794,0.758,0.261,0.987,
HUN,2017,0.853,0.795,0.754,0.259,0.988,
HUN,2018,0.857,0.801,0.748,0.242,0.985,
HUN,2019,0.861,0.807,0.75,0.237,0.986,
HUN,2020,0.857,0.804,0.749,0.244,0.988,
HUN,2021,0.852,0.8,0.736,0.228,0.993,
HUN,2022,0.867,0.814,0.753,0.218,0.992,
HUN,2023,0.87,0.819,0.757,0.213,0.989,
ISL,2010,0.935,0.873,0.758,0.093,0.973,
ISL,2011,0.941,0.889,0.757,0.088,0.967,
ISL,2012,0.946,0.892,0.758,0.084,0.961,
ISL,2013,0.95,0.895,0.769,0.072,0.961,
ISL,2014,0.954,0.903,0.771,0.069,0.965,
ISL,2015,0.956,0.898,0.766,0.062,0.965,
ISL,2016,0.959,0.906,0.758,0.052,0.974,
ISL,2017,0.962,0.906,0.741,0.054,0.978,
ISL,2018,0.966,0.914,0.723,0.049,0.982,
ISL,2019,0.969,0.919,0.748,0.045,0.988,
ISL,2020,0.965,0.912,0.765,0.041,0.983,
ISL,2021,0.967,0.913,0.745,0.031,0.975,
ISL,2022,0.964,0.914,0.737,0.025,0.988,
ISL,2023,0.972,0.923,0.735,0.024,0.983,
IND,2010,0.59,0.381,0.571,0.566,0.819,
IND,2011,0.603,0.391,0.583,0.561,0.828,
IND,2012,0.609,0.394,0.588,0.557,0.826,
IND,2013,0.615,0.399,0.595,0.55,0.838,
IND,2014,0.625,0.407,0.604,0.528,0.838,
IND,2015,0.633,0.423,0.611,0.496,0.837,
IND,2016,0.644,0.434,0.621,0.484,0.84,
IND,2017,0.649,0.438,0.625,0.488,0.84,
IND,2018,0.648,0.436,0.623,0.487,0.824,
IND,2019,0.651,0.445,0.626,0.464,0.836,
IND,2020,0.652,0.444,0.628,0.441,0.843,
IND,2021,0.647,0.443,0.622,0.438,0.846,
IND,2022,0.676,0.468,0.648,0.427,0.856,
IND,2023,0.685,0.475,0.656,0.403,0.874,
IDN,2010,0.67,0.535,0.641,0.494,0.922,
IDN,2011,0.678,0.536,0.647,0.501,0.925,
IDN,2012,0.686,0.544,0.651,0.489,0.929,
IDN,2013,0.69,0.55,0.654,0.482,0.926,
IDN,2014,0.693,0.555,0.658,0.482,0.926,
IDN,2015,0.701,0.56,0.665,0.477,0.931,
IDN,2016,0.705,0.572,0.669,0.471,0.935,
IDN,2017,0.712,0.574,0.674,0.455,0.933,
IDN,2018,0.715,0.58,0.675,0.444,0.937,
IDN,2019,0.714,0.587,0.674,0.436,0.94,
IDN,2020,0.71,0.584,0.671,0.429,0.944,
IDN,2021,0.707,0.589,0.668,0.425,0.944,
IDN,2022,0.726,0.605,0.683,0.422,0.943,
IDN,2023,0.728,0.608,0.684,0.423,0.945,
IRN,2010,0.778,0.587,0.693,0.545,0.88,
IRN,2011,0.787,0.599,0.699,0.551,0.874,
IRN,2012,0.795,0.602,0.702,0.525,0.878,
IRN,2013,0.794,0.607,0.711,0.543,0.866,
IRN,2014,0.795,0.621,0.714,0.537,0.865,
IRN,2015,0.788,0.618,0.712,0.532,0.867,
IRN,2016,0.791,0.618,0.716,0.47,0.879,
IRN,2017,0.793,0.619,0.72,0.46,0.882,
IRN,2018,0.79,0.628,0.722,0.455,0.884,
IRN,2019,0.787,0.625,0.711,0.463,0.882,
IRN,2020,0.775,0.62,0.7,0.483,0.873,
IRN,2021,0.777,0.623,0.702,0.487,0.872,
IRN,2022,0.793,0.638,0.721,0.483,0.876,
IRN,2023,0.799,0.643,0.725,0.482,0.875,
IRQ,2010,0.65,,0.611,0.612,0.778,
IRQ,2011,0.656,0.493,0.615,0.612,0.782,
IRQ,2012,0.664,0.499,0.624,0.61,0.786,
IRQ,2013,0.668,0.503,0.627,0.601,0.793,
IRQ,2014,0.671,0.507,0.631,0.587,0.796,
IRQ,2015,0.675,0.51,0.638,0.578,0.802,
IRQ,2016,0.676,0.51,0.641,0.558,0.822,
IRQ,2017,0.681,0.516,0.646,0.579,0.794,
IRQ,2018,0.689,0.526,0.652,0.573,0.789,
IRQ,2019,0.693,0.529,0.651,0.571,0.793,
IRQ,2020,0.68,0.521,0.648,0.569,0.799,
IRQ,2021,0.687,0.526,0.658,0.562,0.789,
IRQ,2022,0.695,0.534,0.665,0.56,0.795,
IRQ,2023,0.695,0.534,0.665,0.558,0.793,
IRL,2010,0.915,0.835,0.725,0.163,0.972,
IRL,2011,0.909,0.83,0.736,0.141,0.97,
IRL,2012,0.911,0.83,0.745,0.135,0.972,
IRL,2013,0.915,0.836,0.755,0.121,0.97,
IRL,2014,0.921,0.845,0.755,0.116,0.969,
IRL,2015,0.931,0.86,0.753,0.111,0.973,
IRL,2016,0.936,0.864,0.727,0.093,0.978,
IRL,2017,0.941,0.867,0.739,0.087,0.98,
IRL,2018,0.944,0.875,0.748,0.082,0.982,
IRL,2019,0.947,0.881,0.699,0.076,0.987,
IRL,2020,0.948,0.883,0.722,0.066,0.986,
IRL,2021,0.946,0.885,0.75,0.063,0.991,
IRL,2022,0.947,0.882,0.754,0.055,0.996,
IRL,2023,0.949,0.886,0.752,0.054,1.001,
ISR,2010,0.889,0.764,0.676,0.144,0.969,
ISR,2011,0.892,0.771,0.687,0.137,0.968,
ISR,2012,0.893,0.771,0.669,0.133,0.97,
ISR,2013,0.899,0.786,0.693,0.118,0.971,
ISR,2014,0.902,0.789,0.71,0.116,0.973,
ISR,2015,0.902,0.791,0.695,0.103,0.976,
ISR,2016,0.905,0.797,0.711,0.1,0.973,
ISR,2017,0.908,0.801,0.7,0.096,0.987,
ISR,2018,0.911,0.807,0.7,0.09,0.979,
ISR,2019,0.913,0.808,0.703,0.094,0.989,
ISR,2020,0.912,0.809,0.718,0.08,0.991,
ISR,2021,0.918,0.813,0.712,0.076,0.982,
ISR,2022,0.921,0.816,0.71,0.087,0.991,
ISR,2023,0.919,0.813,0.709,0.08,0.994,
ITA,2010,0.887,0.777,0.751,0.123,0.969,
ITA,2011,0.89,0.775,0.753,0.118,0.97,
ITA,2012,0.887,0.776,0.765,0.114,0.971,
ITA,2013,0.887,0.78,0.77,0.085,0.969,
ITA,2014,0.89,0.771,0.781,0.081,0.969,
ITA,2015,0.889,0.773,0.782,0.079,0.968,
ITA,2016,0.894,0.773,0.785,0.074,0.97,
ITA,2017,0.897,0.782,0.785,0.069,0.969,
ITA,2018,0.902,0.786,0.787,0.056,0.969,
ITA,2019,0.906,0.794,0.795,0.052,0.971,
ITA,2020,0.899,0.792,0.798,0.048,0.975,
ITA,2021,0.908,0.799,0.794,0.044,0.972,
ITA,2022,0.905,0.799,0.792,0.046,0.975,
ITA,2023,0.915,0.817,0.801,0.043,0.975,
JAM,2010,0.708,,0.677,0.43,1.009,
JAM,2011,0.711,0.58,0.675,0.412,1.01,
JAM,2012,0.711,0.582,0.675,0.413,1.011,
JAM,2013,0.711,0.571,0.675,0.417,1.014,
JAM,2014,0.712,0.587,0.678,0.419,1.015,
JAM,2015,0.713,0.586,0.681,0.409,1.004,
JAM,2016,0.714,0.587,0.683,0.399,1.005,
